#Depth,Radius,Density,Pressure,Temperature,Alpha,Cp,Vphi,Vp,Vs,Gravity,C2/c,Wus,Pv,an,Sp,O,Wad,Ring,Opx,Cpx,Aki,Gt_maj,Ppv,CF,st,q,ca-pv,cfs,coe,ky,seif,Fe,Mass
6.34515e+03,0.00000e+00,1.40507e+01,4.07657e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.07158e+01,1.07158e+01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.97010e+21
6.02268e+03,3.22476e+02,1.40251e+01,4.04726e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06913e+01,1.06913e+01,0.00000e+00,1.26598e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,3.94020e+21
5.93879e+03,4.06366e+02,1.40103e+01,4.03038e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06772e+01,1.06772e+01,0.00000e+00,1.59408e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,5.91030e+21
5.87991e+03,4.65246e+02,1.39979e+01,4.01626e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06654e+01,1.06654e+01,0.00000e+00,1.82392e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,7.88040e+21
5.83301e+03,5.12143e+02,1.39869e+01,4.00368e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06548e+01,1.06548e+01,0.00000e+00,2.00669e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,9.85050e+21
5.79339e+03,5.51764e+02,1.39767e+01,3.99213e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06451e+01,1.06451e+01,0.00000e+00,2.16089e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.18206e+22
5.75874e+03,5.86412e+02,1.39671e+01,3.98135e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06360e+01,1.06360e+01,0.00000e+00,2.29556e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.37907e+22
5.72775e+03,6.17407e+02,1.39581e+01,3.97115e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06273e+01,1.06273e+01,0.00000e+00,2.41588e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.57608e+22
5.69957e+03,6.45585e+02,1.39495e+01,3.96145e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06191e+01,1.06191e+01,0.00000e+00,2.52514e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.77309e+22
5.67364e+03,6.71512e+02,1.39413e+01,3.95214e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06112e+01,1.06112e+01,0.00000e+00,2.62556e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.97010e+22
5.64956e+03,6.95591e+02,1.39333e+01,3.94318e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06036e+01,1.06036e+01,0.00000e+00,2.71873e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,2.16711e+22
