#Depth,Radius,Density,Pressure,Temperature,Alpha,Cp,Vphi,Vp,Vs,Gravity,C2/c,Wus,Pv,an,O,Wad,Ring,Opx,Cpx,Aki,Gt_maj,Ppv,CF,st,q,ca-pv,cfs,coe,ky,seif,Fe,Mass
6.37073e+03,0.00000e+00,1.40321e+01,4.05504e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06978e+01,1.06978e+01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.97010e+21
6.04811e+03,3.22619e+02,1.40064e+01,4.02578e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06734e+01,1.06734e+01,0.00000e+00,1.26486e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,3.94020e+21
5.96418e+03,4.06547e+02,1.39916e+01,4.00893e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06592e+01,1.06592e+01,0.00000e+00,1.59266e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,5.91030e+21
5.90527e+03,4.65453e+02,1.39792e+01,3.99483e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06473e+01,1.06473e+01,0.00000e+00,1.82229e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,7.88040e+21
5.85835e+03,5.12372e+02,1.39681e+01,3.98228e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06367e+01,1.06367e+01,0.00000e+00,2.00490e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,9.85050e+21
5.81871e+03,5.52011e+02,1.39579e+01,3.97075e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06270e+01,1.06270e+01,0.00000e+00,2.15896e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.18206e+22
5.78405e+03,5.86674e+02,1.39484e+01,3.95998e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06179e+01,1.06179e+01,0.00000e+00,2.29351e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.37907e+22
5.75304e+03,6.17684e+02,1.39393e+01,3.94981e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06093e+01,1.06093e+01,0.00000e+00,2.41372e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.57608e+22
5.72485e+03,6.45874e+02,1.39307e+01,3.94011e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.06010e+01,1.06010e+01,0.00000e+00,2.52288e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.77309e+22
5.69891e+03,6.71812e+02,1.39224e+01,3.93082e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.05931e+01,1.05931e+01,0.00000e+00,2.62321e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,1.97010e+22
5.67482e+03,6.95902e+02,1.39144e+01,3.92188e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.05855e+01,1.05855e+01,0.00000e+00,2.71629e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,2.16711e+22
5.65228e+03,7.18443e+02,1.39067e+01,3.91323e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.05781e+01,1.05781e+01,0.00000e+00,2.80329e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,2.36412e+22
5.63106e+03,7.39663e+02,1.38992e+01,3.90485e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.05710e+01,1.05710e+01,0.00000e+00,2.88512e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00000e+02,2.56113e+22
